Year;Month;Day;Period;101;102;103;104;113;118;119;122;122
2020;1;2;13;73.3;36.4;46.4;17.8;66.8;61.4;44.1;16.8;702.2
2020;1;2;14;70.5;35;40.6;17.1;64.4;54.5;39;16.8;699.2
2020;1;2;15;63.6;31.2;30.2;15.9;56.9;41.5;29.7;16.8;686.9
2020;1;2;16;40.3;19.9;12.9;10.3;32;19.7;14;19.8;695.4
2020;1;2;17;0;0;0;0;0;0;0;19.8;712.3
2020;1;2;18;0;0;0;0;0;0;0;19.8;712.4
2020;1;2;19;0;0;0;0;0;0;0;22.8;712.2
2020;1;2;20;0;0;0;0;0;0;0;22.8;711.2
2020;1;2;21;0;0;0;0;0;0;0;25.2;711.9
2020;1;2;22;0;0;0;0;0;0;0;28.2;696.7
2020;1;2;23;0;0;0;0;0;0;0;28.2;689.7
2020;1;2;24;0;0;0;0;0;0;0;28.2;666.6
2020;1;3;1;0;0;0;0;0;0;0;22.8;658.3
2020;1;3;2;0;0;0;0;0;0;0;19.8;688.5
2020;1;3;3;0;0;0;0;0;0;0;16.8;686.9
2020;1;3;4;0;0;0;0;0;0;0;19.8;675.8
2020;1;3;5;0;0;0;0;0;0;0;19.8;680.5
2020;1;3;6;0;0;0;0;0;0;0;19.8;677.8
2020;1;3;7;0;0;0;0;0;0;0;19.8;666.2
2020;1;3;8;59.2;29.8;14.7;14.9;49.6;15.3;13.4;19.8;694.4
2020;1;3;9;72.6;36.6;28.7;18.2;62.9;34.5;27.7;19.8;690.1
2020;1;3;10;74.5;37.5;37.6;19;66.1;49;37.1;19.8;690.3
2020;1;3;11;75.9;38;44.4;19;64;57.6;41.3;22.8;647.2
2020;1;3;12;75.4;37.6;47.3;18.8;60.8;61.1;44.3;19.8;698.7
2020;1;3;13;73.4;36.6;45.1;18.2;60.3;61;43.8;19.8;523.4
2020;1;3;14;70;34.8;39.6;17.3;61.5;54.2;38.8;19.8;500.1
2020;1;3;15;63;31.2;30.1;15.4;56.7;40.6;28.5;19.8;481.8
2020;1;3;16;40.7;20.5;12.9;10.4;32.2;20.1;14.3;19.8;491.6
2020;1;3;17;0;0;0;0;0;0;0;19.8;177.5
2020;1;3;18;0;0;0;0;0;0;0;19.8;10.9
2020;1;3;19;0;0;0;0;0;0;0;22.8;30.1
2020;1;3;20;0;0;0;0;0;0;0;19.8;96.9
2020;1;3;21;0;0;0;0;0;0;0;22.8;389.5
2020;1;3;22;0;0;0;0;0;0;0;25.2;404.6
2020;1;3;23;0;0;0;0;0;0;0;22.8;354.7
2020;1;3;24;0;0;0;0;0;0;0;22.8;414.1
2020;1;4;1;0;0;0;0;0;0;0;22.8;198.8
2020;1;4;2;0;0;0;0;0;0;0;19.8;77.5
2020;1;4;3;0;0;0;0;0;0;0;19.8;33.4
2020;1;4;4;0;0;0;0;0;0;0;19.8;28.5
2020;1;4;5;0;0;0;0;0;0;0;22.8;60
2020;1;4;6;0;0;0;0;0;0;0;19.8;85.3
2020;1;4;7;0;0;0;0;0;0;0;16.8;82.2
2020;1;4;8;58.1;29.2;13.3;14.5;44.2;14.3;12.9;19.8;70.8
2020;1;4;9;67.2;34.1;25;16.9;59.4;35.3;28.8;19.8;86.4
2020;1;4;10;64.8;34;34.6;16.7;58.4;51.8;39.8;19.8;101.7
2020;1;4;11;58;32.1;36.2;14.4;58.9;61.5;45.8;19.8;48.2
2020;1;4;12;55;23.2;44.4;12.6;59.2;65.1;47.6;16.8;121.2
2020;1;4;13;45.5;17.2;45.1;12.9;60.4;62.5;44.8;16.8;243.6
2020;1;4;14;56.4;10.2;41;8.9;62.2;54.5;40.9;16.8;255.6
2020;1;4;15;61.9;17.9;29.4;15.5;55.1;40.3;31.2;19.8;452.7
2020;1;4;16;41.9;20.9;13.3;10.7;33.1;20.9;15.5;16.8;441.7
2020;1;4;17;0;0;0;0;0;0;0;19.8;403.3
2020;1;4;18;0;0;0;0;0;0;0;16.8;88.9
2020;1;4;19;0;0;0;0;0;0;0;22.8;557.4
2020;1;4;20;0;0;0;0;0;0;0;19.8;591.2
2020;1;4;21;0;0;0;0;0;0;0;19.8;574.5
2020;1;4;22;0;0;0;0;0;0;0;19.8;706.1
2020;1;4;23;0;0;0;0;0;0;0;19.8;713.5
2020;1;4;24;0;0;0;0;0;0;0;36.6;577.2
2020;1;5;1;0;0;0;0;0;0;0;19.8;587.3
2020;1;5;2;0;0;0;0;0;0;0;19.8;627.5
2020;1;5;3;0;0;0;0;0;0;0;22.8;602.4
2020;1;5;4;0;0;0;0;0;0;0;16.8;613.1
2020;1;5;5;0;0;0;0;0;0;0;16.8;599.4
2020;1;5;6;0;0;0;0;0;0;0;16.8;630.4
2020;1;5;7;0;0;0;0;0;0;0;19.8;696.8
2020;1;5;8;60;30.3;14.9;15;49.2;15.9;13.9;19.8;670.3
2020;1;5;9;71.5;37.7;28.6;18.8;62.2;36;28.4;19.8;663.9
2020;1;5;10;73.5;39;38.2;19.4;65.8;51.2;38.3;22.8;703.3
2020;1;5;11;75.6;39.1;44.7;19.4;66.2;60.2;44.8;19.8;648.4
2020;1;5;12;72.9;38.1;45.3;18.9;63.2;64.5;48;22.8;628.7
2020;1;5;13;73.3;37.3;45.3;18.5;63.9;63.6;47.2;22.8;590.8
2020;1;5;14;71.6;36.3;40.4;18;62.4;55.8;41.5;25.2;507.3
2020;1;5;15;64.4;32.5;30.4;16.2;55.4;41.2;31.4;22.8;581.4
2020;1;5;16;42.1;21.7;13.5;10.8;33;21.4;15.5;25.2;433.4
2020;1;5;17;0;0;0;0;0;0;0;22.8;279.9
2020;1;5;18;0;0;0;0;0;0;0;25.2;0
2020;1;5;19;0;0;0;0;0;0;0;25.2;3.9
2020;1;5;20;0;0;0;0;0;0;0;22.8;26.2
2020;1;5;21;0;0;0;0;0;0;0;25.2;419.8
2020;1;5;22;0;0;0;0;0;0;0;34.2;563.4
2020;1;5;23;0;0;0;0;0;0;0;22.8;539.6
2020;1;5;24;0;0;0;0;0;0;0;36.6;658.3
2020;1;6;1;0;0;0;0;0;0;0;22.8;650.2
2020;1;6;2;0;0;0;0;0;0;0;22.8;650.9
2020;1;6;3;0;0;0;0;0;0;0;22.8;667.2
2020;1;6;4;0;0;0;0;0;0;0;22.8;661.2
2020;1;6;5;0;0;0;0;0;0;0;22.8;651
2020;1;6;6;0;0;0;0;0;0;0;22.8;649.7
2020;1;6;7;0;0;0;0;0;0;0;79.2;639.2
2020;1;6;8;60.6;30.5;14.8;15.3;53;15.3;13.6;76.2;645.6
2020;1;6;9;74.8;37.3;30;18.9;68.6;35.7;29.2;76.2;672.2
2020;1;6;10;77.8;39.4;41.1;19;72.2;50.5;39.9;79.2;695.1
2020;1;6;11;77.3;39.1;47.1;18.8;72.5;59.4;45.1;76.2;705.7
2020;1;6;12;75.8;38;49.1;18.5;71.7;63.4;47.8;79.2;704.1
2020;1;6;13;73.7;37.5;47.5;17.4;70.1;61.2;44.7;76.2;697.1
2020;1;6;14;71.1;36;41.4;17.3;67;55.1;40.6;76.2;688.3
2020;1;6;15;64.2;32.5;30.5;16.1;59.1;42.8;31;79.2;670.5
2020;1;6;16;42.6;21.8;13.9;10.8;35.3;22.3;15.8;76.2;664.4
2020;1;6;17;0;0;0;0;0;0;0;85.2;664.1
2020;1;6;18;0;0;0;0;0;0;0;155.4;657.7
2020;1;6;19;0;0;0;0;0;0;0;153;656.2
2020;1;6;20;0;0;0;0;0;0;0;155.4;661
2020;1;6;21;0;0;0;0;0;0;0;155.4;667.9
2020;1;6;22;0;0;0;0;0;0;0;155.4;678.7
2020;1;6;23;0;0;0;0;0;0;0;155.4;700.3
2020;1;6;24;0;0;0;0;0;0;0;118.8;712.2
2020;1;7;1;0;0;0;0;0;0;0;25.2;713.5
2020;1;7;2;0;0;0;0;0;0;0;22.8;711.7
2020;1;7;3;0;0;0;0;0;0;0;25.2;711.4
2020;1;7;4;0;0;0;0;0;0;0;22.8;709.2
2020;1;7;5;0;0;0;0;0;0;0;25.2;707.3
2020;1;7;6;0;0;0;0;0;0;0;25.2;701.9
2020;1;7;7;0;0;0;0;0;0;0;76.2;710.8
2020;1;7;8;60.9;31.2;14.9;15.2;51.8;15.5;14.2;76.2;704.6
2020;1;7;9;73.4;37.8;28.8;18.3;65.8;35.8;29.6;85.2;701.4
2020;1;7;10;74.5;38.4;38.2;18.3;68.1;49.9;38.6;76.2;703.9
2020;1;7;11;74.9;38.3;43;18.5;69;59.1;43.6;79.2;709.4
2020;1;7;12;74.1;38.4;45.1;18.2;67.5;64.2;47.1;76.2;709.1
2020;1;7;13;73.6;37.6;45.8;17.8;66.5;63.1;46.1;76.2;705.9
2020;1;7;14;71;36.2;40.5;17.2;65.2;56.5;41.6;79.2;704.4
2020;1;7;15;65.2;33.4;31;15.7;59.7;42.6;31.6;76.2;709
2020;1;7;16;42.8;21.8;13.9;10.9;35.4;22.4;16.1;79.2;709.4
2020;1;7;17;0;0;0;0;0;0;0;150;713.2
2020;1;7;18;0;0;0;0;0;0;0;155.4;713.5
2020;1;7;19;0;0;0;0;0;0;0;153;713.5
2020;1;7;20;0;0;0;0;0;0;0;124.8;713.5
2020;1;7;21;0;0;0;0;0;0;0;65.4;713.3
2020;1;7;22;0;0;0;0;0;0;0;22.8;709.3
2020;1;7;23;0;0;0;0;0;0;0;22.8;713.2
2020;1;7;24;0;0;0;0;0;0;0;22.8;711.5
2020;1;8;1;0;0;0;0;0;0;0;25.2;614.3
2020;1;8;2;0;0;0;0;0;0;0;22.8;696
2020;1;8;3;0;0;0;0;0;0;0;22.8;698
2020;1;8;4;0;0;0;0;0;0;0;25.2;529.4
2020;1;8;5;0;0;0;0;0;0;0;22.8;274.9
2020;1;8;6;0;0;0;0;0;0;0;22.8;68.4
2020;1;8;7;0;0;0;0;0;0;0;25.2;69
2020;1;8;8;61.2;31.3;15.2;15.2;49.9;15.7;14;22.8;442.8
2020;1;8;9;73.2;37.4;29.2;18.3;62.5;35.9;28.8;22.8;649.8
2020;1;8;10;74.3;37.5;38.8;18.8;68.7;50.5;38.1;22.8;622.5
2020;1;8;11;74.9;37.7;43.8;19.2;67.7;60.8;45.4;22.8;655.8
2020;1;8;12;72.7;36.4;45.3;18.7;65.8;64.2;48.4;22.8;713.5
2020;1;8;13;72.3;36.6;43.5;18.2;62.4;63.5;46.5;22.8;713.5
2020;1;8;14;70.4;36.1;38;17.5;59.8;57.2;38.4;25.2;713.5
2020;1;8;15;64.8;32.7;30;15.8;57;43.5;31.7;25.2;713.5
2020;1;8;16;44.1;22.9;14.1;11.2;35.2;22.9;16;79.2;709.2
2020;1;8;17;0;0;0;0;0;0;0;76.2;711
2020;1;8;18;0;0;0;0;0;0;0;79.2;713.5
2020;1;8;19;0;0;0;0;0;0;0;54;705.3
2020;1;8;20;0;0;0;0;0;0;0;25.2;704.2
2020;1;8;21;0;0;0;0;0;0;0;22.8;708.1
2020;1;8;22;0;0;0;0;0;0;0;22.8;710.1
2020;1;8;23;0;0;0;0;0;0;0;22.8;707.2
2020;1;8;24;0;0;0;0;0;0;0;22.8;712.5
2020;1;9;1;0;0;0;0;0;0;0;16.8;712.9
2020;1;9;2;0;0;0;0;0;0;0;16.8;713.5
2020;1;9;3;0;0;0;0;0;0;0;16.8;713.5
2020;1;9;4;0;0;0;0;0;0;0;16.8;713.5
2020;1;9;5;0;0;0;0;0;0;0;16.8;713.5
2020;1;9;6;0;0;0;0;0;0;0;16.8;712.1
2020;1;9;7;0;0;0;0;0;0;0;19.8;701.4
2020;1;9;8;60.5;30.9;14.6;15.1;50.2;15.7;13.6;14.4;668
2020;1;9;9;73.6;37.6;29.3;17.8;66.5;35.4;27.9;19.8;597.3
2020;1;9;10;75.9;38.6;38.6;18.9;69.6;51.3;37.7;14.4;567.3
2020;1;9;11;75.7;38.4;45.2;18.2;69.2;60.6;43.1;16.8;286.8
2020;1;9;12;73.9;37.2;46.6;17.9;68.4;65.1;46.8;16.8;84.1
2020;1;9;13;73.3;36.4;45.9;18.1;68.5;64.9;47.1;16.8;129.1
2020;1;9;14;71.8;35.4;41.2;17.9;66;58;42.3;16.8;146.4
2020;1;9;15;64.9;32.9;30.7;16.2;57.2;43.4;32.7;16.8;85.6
2020;1;9;16;44.5;22.4;14.5;11.4;35.7;23.4;16.4;19.8;118.7
2020;1;9;17;0;0;0;0;0;0;0;19.8;128.9
2020;1;9;18;0;0;0;0;0;0;0;19.8;121.6
2020;1;9;19;0;0;0;0;0;0;0;22.8;531.6
2020;1;9;20;0;0;0;0;0;0;0;22.8;669
2020;1;9;21;0;0;0;0;0;0;0;25.2;665
2020;1;9;22;0;0;0;0;0;0;0;28.2;654.8
2020;1;9;23;0;0;0;0;0;0;0;28.2;653.5
2020;1;9;24;0;0;0;0;0;0;0;28.2;652.4
2020;1;10;1;0;0;0;0;0;0;0;22.8;658.5
2020;1;10;2;0;0;0;0;0;0;0;19.8;657
2020;1;10;3;0;0;0;0;0;0;0;16.8;657.3
2020;1;10;4;0;0;0;0;0;0;0;19.8;664.1
2020;1;10;5;0;0;0;0;0;0;0;19.8;659.3
2020;1;10;6;0;0;0;0;0;0;0;19.8;664.9
2020;1;10;7;0;0;0;0;0;0;0;19.8;682.1
2020;1;10;8;61.6;31;14.8;15.3;51.5;16.1;14.1;19.8;702.1
2020;1;10;9;74.8;37.7;29.6;18.7;65.9;36.8;29.7;19.8;695.4
2020;1;10;10;76.8;38.5;38.2;19.1;68.7;53.1;40.3;19.8;688
2020;1;10;11;77.8;39.5;42.9;19.6;68.1;62.6;46.3;22.8;688.8
2020;1;10;12;76.9;38.2;46.7;18.9;66.3;66.9;49.2;19.8;691.9
2020;1;10;13;74.1;37.1;43.5;18.4;65.1;65.7;48;19.8;694.8
2020;1;10;14;71.5;36.1;39.7;17.9;63.1;57.8;42.5;19.8;686.7
2020;1;10;15;66.1;32.9;31.4;16.3;58.9;44.7;32.8;19.8;682.4
2020;1;10;16;44.2;22.4;15.8;11.2;40.9;23.6;16.9;19.8;684.8
2020;1;10;17;0;0;0;0;0;0;0;19.8;704.6
2020;1;10;18;0;0;0;0;0;0;0;19.8;712.4
2020;1;10;19;0;0;0;0;0;0;0;22.8;711.8
2020;1;10;20;0;0;0;0;0;0;0;19.8;712.1
2020;1;10;21;0;0;0;0;0;0;0;22.8;712.4
2020;1;10;22;0;0;0;0;0;0;0;25.2;647.7
2020;1;10;23;0;0;0;0;0;0;0;22.8;658.4
2020;1;10;24;0;0;0;0;0;0;0;22.8;690.8
2020;1;11;1;0;0;0;0;0;0;0;22.8;679.7
2020;1;11;2;0;0;0;0;0;0;0;19.8;688.7
2020;1;11;3;0;0;0;0;0;0;0;19.8;693
2020;1;11;4;0;0;0;0;0;0;0;19.8;687.7
2020;1;11;5;0;0;0;0;0;0;0;22.8;683.7
2020;1;11;6;0;0;0;0;0;0;0;19.8;582.8
2020;1;11;7;0;0;0;0;0;0;0;16.8;259.3
2020;1;11;8;61.1;29.5;14.8;14.8;49;9.7;13.8;19.8;38.4
2020;1;11;9;74.7;35.3;29.6;17.8;61.2;22.7;29.7;19.8;45.2
2020;1;11;10;77.8;37.9;40;19.1;66.3;33.2;41.4;19.8;52.6
2020;1;11;11;77.2;37.1;45.3;18.7;64.6;38.5;47.8;19.8;44.9
2020;1;11;12;78.6;38.9;48.2;19.5;66.2;40.4;49.6;16.8;18.6
2020;1;11;13;78.3;38.3;47.3;19.3;66;33.2;47.1;16.8;68
2020;1;11;14;75.2;36.3;41.6;18.4;64.1;25.2;39.7;16.8;153.8
2020;1;11;15;66.5;32.9;31;16.6;57.5;17.9;26.6;19.8;137.3
2020;1;11;16;33.2;18.6;14.1;9.9;41.2;9.4;16.9;16.8;135.5
2020;1;11;17;0;0;0;0;0;0;0;19.8;235.3
2020;1;11;18;0;0;0;0;0;0;0;16.8;360.5
2020;1;11;19;0;0;0;0;0;0;0;22.8;534.8
2020;1;11;20;0;0;0;0;0;0;0;19.8;510.5
2020;1;11;21;0;0;0;0;0;0;0;19.8;631.4
2020;1;11;22;0;0;0;0;0;0;0;19.8;575.5
2020;1;11;23;0;0;0;0;0;0;0;19.8;590.1
2020;1;11;24;0;0;0;0;0;0;0;36.6;648.2
2020;1;12;1;0;0;0;0;0;0;0;19.8;661.3
2020;1;12;2;0;0;0;0;0;0;0;19.8;694.6
2020;1;12;3;0;0;0;0;0;0;0;22.8;687.7
2020;1;12;4;0;0;0;0;0;0;0;16.8;710.4
2020;1;12;5;0;0;0;0;0;0;0;16.8;710.2
2020;1;12;6;0;0;0;0;0;0;0;16.8;709.7
2020;1;12;7;0;0;0;0;0;0;0;19.8;678.1
2020;1;12;8;61.7;31.7;14.6;15.9;50.4;12.8;13.9;19.8;674.6
2020;1;12;9;73.4;39.3;28.3;19.8;65.3;33.3;30.1;19.8;659.5
2020;1;12;10;76.1;40.3;38.3;20.4;67.1;46.9;41.9;22.8;653.3
2020;1;12;11;72.2;38.5;46.2;19.8;65.1;65.2;49.3;19.8;616.9
2020;1;12;12;68.9;40.1;48.9;19.1;59.3;69.9;51.8;22.8;574.3
2020;1;12;13;71.3;38.6;48.2;18.8;65.8;68.7;50.5;22.8;578.9
2020;1;12;14;74.2;37.9;43;18.6;62.8;61;44.7;25.2;587.5
2020;1;12;15;66.7;33.9;32.3;14.5;58.9;46.7;34.1;22.8;574
2020;1;12;16;48;24;15.3;12.2;37.4;25.4;17.8;25.2;563.5
2020;1;12;17;0;0;0;0;0;0;0;22.8;581.3
2020;1;12;18;0;0;0;0;0;0;0;25.2;602.7
2020;1;12;19;0;0;0;0;0;0;0;25.2;542.1
2020;1;12;20;0;0;0;0;0;0;0;22.8;545.2
2020;1;12;21;0;0;0;0;0;0;0;25.2;494.4
2020;1;12;22;0;0;0;0;0;0;0;34.2;442.3
2020;1;12;23;0;0;0;0;0;0;0;22.8;421.4
2020;1;12;24;0;0;0;0;0;0;0;36.6;418.7
2020;1;13;1;0;0;0;0;0;0;0;28.2;450.2
2020;1;13;2;0;0;0;0;0;0;0;22.8;431.4
2020;1;13;3;0;0;0;0;0;0;0;25.2;444.1
2020;1;13;4;0;0;0;0;0;0;0;22.8;531.2
2020;1;13;5;0;0;0;0;0;0;0;22.8;443.9
2020;1;13;6;0;0;0;0;0;0;0;25.2;341.3
2020;1;13;7;0;0;0;0;0;0;0;22.8;308.9
2020;1;13;8;65.4;32.2;15;16.3;53;16.2;14;19.8;306.1
2020;1;13;9;81.1;39.8;30.6;20.2;68.7;38.6;30.3;16.8;321.6
2020;1;13;10;83.7;40.7;42;20.6;72.3;55.6;41.9;19.8;156.4
2020;1;13;11;84.3;40.5;48.7;20.6;72.7;65.2;48.2;19.8;177.9
2020;1;13;12;83.7;40.7;51.1;20.6;72.7;70.4;52.4;19.8;129.7
2020;1;13;13;81.7;39.7;49.2;20.2;71.4;68.9;50.8;22.8;236.2
2020;1;13;14;78.9;38.5;43.5;19.5;68.2;62;45;25.2;206
2020;1;13;15;71.1;35.1;33;17.9;59.3;48.1;34.5;28.2;346.7
2020;1;13;16;49.5;24.6;15.8;12.5;38.4;25.9;18;22.8;505.2
2020;1;13;17;0;0;0;0;0;0;0;25.2;505.8
2020;1;13;18;0;0;0;0;0;0;0;22.8;669.1
2020;1;13;19;0;0;0;0;0;0;0;25.2;648.7
2020;1;13;20;0;0;0;0;0;0;0;22.8;647.2
2020;1;13;21;0;0;0;0;0;0;0;22.8;672.7
2020;1;13;22;0;0;0;0;0;0;0;25.2;663.3
2020;1;13;23;0;0;0;0;0;0;0;22.8;650
2020;1;13;24;0;0;0;0;0;0;0;22.8;666.9
2020;1;14;1;0;0;0;0;0;0;0;31.2;691.7
2020;1;14;2;0;0;0;0;0;0;0;22.8;690.7
2020;1;14;3;0;0;0;0;0;0;0;22.8;695.1
2020;1;14;4;0;0;0;0;0;0;0;22.8;701.5
2020;1;14;5;0;0;0;0;0;0;0;22.8;696
2020;1;14;6;0;0;0;0;0;0;0;22.8;706.5
2020;1;14;7;0;0;0;0;0;0;0;22.8;706.7
2020;1;14;8;62.6;31.3;15.2;15.5;51.4;16.2;13.9;22.8;704.8
2020;1;14;9;76.3;38.2;30.1;18.7;65.5;37.3;29.7;16.8;711.1
2020;1;14;10;78;38.7;40.2;19.2;68.7;53.6;41.4;22.8;711
2020;1;14;11;75.9;36.9;44.8;19.4;67.4;63.2;47.7;22.8;711.1
2020;1;14;12;77.7;37.7;48.9;19.7;66.5;67.8;49.8;22.8;713.5
2020;1;14;13;76.9;37.6;46.9;19.6;65.9;66.8;48.6;22.8;713.3
2020;1;14;14;74.8;36.4;42.8;18.9;63.3;59.5;42.8;22.8;670.1
2020;1;14;15;70.8;34.6;34.1;17.6;62.2;46.9;33.9;22.8;599.4
2020;1;14;16;47.8;23.5;17.6;12.2;43.5;25.3;18;22.8;616
2020;1;14;17;0;0;0;0;0;0;0;22.8;518.1
2020;1;14;18;0;0;0;0;0;0;0;25.2;453.4
2020;1;14;19;0;0;0;0;0;0;0;22.8;435.1
2020;1;14;20;0;0;0;0;0;0;0;22.8;399.3
2020;1;14;21;0;0;0;0;0;0;0;22.8;468.8
2020;1;14;22;0;0;0;0;0;0;0;22.8;292.1
2020;1;14;23;0;0;0;0;0;0;0;22.8;258.1
2020;1;14;24;0;0;0;0;0;0;0;22.8;312.8
2020;1;15;1;0;0;0;0;0;0;0;28.2;467.1
2020;1;15;2;0;0;0;0;0;0;0;22.8;440.5
2020;1;15;3;0;0;0;0;0;0;0;28.2;643.3
2020;1;15;4;0;0;0;0;0;0;0;25.2;621.7
2020;1;15;5;0;0;0;0;0;0;0;22.8;459.1
2020;1;15;6;0;0;0;0;0;0;0;22.8;198.6
2020;1;15;7;0;0;0;0;0;0;0;22.8;353.8
2020;1;15;8;62.7;31.4;15.1;15.6;49.6;16.1;14.2;25.2;382.4
2020;1;15;9;74.4;36.3;29.6;19;64.1;37.4;29.3;22.8;416.5
2020;1;15;10;76.7;38;39.2;19.2;66.3;53.1;41.3;22.8;353.6
2020;1;15;11;76.9;37.9;46.3;18.7;68.2;52.6;47.6;25.2;309.8
2020;1;15;12;78.2;38.5;49.4;19;67.4;42.6;51.2;22.8;215.9
2020;1;15;13;76.5;37.3;47.9;18.9;67.1;43.7;49.5;19.8;131.2
2020;1;15;14;74.3;36.1;43.2;18.3;64.6;37.1;44.6;22.8;151.8
2020;1;15;15;67.5;33.1;33;16.6;57.9;27.7;34.1;22.8;88.5
2020;1;15;16;46.8;23.2;17.3;11.8;43.9;15.1;18;22.8;65.3
2020;1;15;17;0;0;0;0;0;0;0;25.2;84.9
2020;1;15;18;0;0;0;0;0;0;0;22.8;0
2020;1;15;19;0;0;0;0;0;0;0;22.8;0
2020;1;15;20;0;0;0;0;0;0;0;79.2;0
2020;1;15;21;0;0;0;0;0;0;0;79.2;0
2020;1;15;22;0;0;0;0;0;0;0;22.8;0
2020;1;15;23;0;0;0;0;0;0;0;16.8;0
2020;1;15;24;0;0;0;0;0;0;0;16.8;9.7
2020;1;16;1;0;0;0;0;0;0;0;22.8;4.2
2020;1;16;2;0;0;0;0;0;0;0;16.8;4.5
2020;1;16;3;0;0;0;0;0;0;0;16.8;66.7
2020;1;16;4;0;0;0;0;0;0;0;16.8;192.1
2020;1;16;5;0;0;0;0;0;0;0;16.8;214
2020;1;16;6;0;0;0;0;0;0;0;19.8;266.8
2020;1;16;7;0;0;0;0;0;0;0;16.8;324.9
2020;1;16;8;62.5;31.2;15;16;52.1;15.7;14.1;16.8;422.5
2020;1;16;9;77.7;38.2;30.9;19.7;62.3;37.7;30.4;16.8;554.2
2020;1;16;10;80.8;40;42.3;20.3;64.2;54;42.4;16.8;598.1
2020;1;16;11;81.8;40.8;48.4;20.5;68;65;49.3;19.8;400.9
2020;1;16;12;82;41.1;51.2;20.4;69.3;70.4;52.3;22.8;328.6
2020;1;16;13;80.1;40;50.1;20;67.7;68.6;50.8;22.8;276.6
2020;1;16;14;77.2;38.2;44.5;19.3;66.1;61.5;45.1;25.2;329.3
2020;1;16;15;68.4;34.1;33.7;17.1;60.5;48.5;35;22.8;210.4
2020;1;16;16;48.6;24.8;16.6;12.2;44.6;26.9;18.5;25.2;220.1
2020;1;16;17;0;0;0;0;0;0.7;0;25.2;225.4
2020;1;16;18;0;0;0;0;0;0;0;79.2;258.6
2020;1;16;19;0;0;0;0;0;0;0;79.2;467.2
2020;1;16;20;0;0;0;0;0;0;0;79.2;558.2
2020;1;16;21;0;0;0;0;0;0;0;70.8;553.6
2020;1;16;22;0;0;0;0;0;0;0;16.8;444.9
2020;1;16;23;0;0;0;0;0;0;0;16.8;603.2
2020;1;16;24;0;0;0;0;0;0;0;16.8;676.8
2020;1;17;1;0;0;0;0;0;0;0;19.8;666.2
2020;1;17;2;0;0;0;0;0;0;0;19.8;675.9
2020;1;17;3;0;0;0;0;0;0;0;19.8;616.3
2020;1;17;4;0;0;0;0;0;0;0;19.8;665.1
2020;1;17;5;0;0;0;0;0;0;0;19.8;689.2
2020;1;17;6;0;0;0;0;0;0;0;22.8;685
2020;1;17;7;0;0;0;0;0;0;0;22.8;687.8
2020;1;17;8;62.8;32.2;15.2;15.4;50.7;16.2;14.1;22.8;673.9
